term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),2.0253,0.2644,2.6693,0.0076,1.2078,3.4059,Model 1: Sadness Predictors
sexMale,0.4303,0.0745,-11.3264,0,0.3717,0.4977,Model 1: Sadness Predictors
grade10th,1.0338,0.1012,0.3282,0.7428,0.8479,1.2607,Model 1: Sadness Predictors
grade11th,1.0932,0.1005,0.8862,0.3755,0.8978,1.3314,Model 1: Sadness Predictors
grade12th,1.2025,0.1043,1.7682,0.077,0.9805,1.4757,Model 1: Sadness Predictors
race_ethnicityBlack or African American,1.2902,0.1524,1.6727,0.0944,0.9565,1.7386,Model 1: Sadness Predictors
race_ethnicityHispanic/Latino,1.162,0.1583,0.9486,0.3428,0.8515,1.5843,Model 1: Sadness Predictors
race_ethnicityTwo or More Races,0.9368,0.1972,-0.3314,0.7404,0.6365,1.3795,Model 1: Sadness Predictors
race_ethnicityWhite,1.0566,0.1401,0.3932,0.6942,0.8019,1.3897,Model 1: Sadness Predictors
bullied_at_school,1.0333,0.0981,0.3335,0.7387,0.8531,1.2534,Model 1: Sadness Predictors
connectedness_score,0.9801,0.0618,-0.3255,0.7448,0.8682,1.1062,Model 1: Sadness Predictors
(Intercept),1.0315,0.2613,0.1188,0.9055,0.618,1.7221,Model 2: Substance Use Predictors
sexMale,0.9771,0.0734,-0.3152,0.7526,0.8462,1.1283,Model 2: Substance Use Predictors
grade10th,0.8202,0.0993,-1.9954,0.046,0.675,0.9963,Model 2: Substance Use Predictors
grade11th,1.4106,0.0974,3.5306,4e-4,1.1656,1.7079,Model 2: Substance Use Predictors
grade12th,1.5607,0.1007,4.4211,0,1.2816,1.902,Model 2: Substance Use Predictors
race_ethnicityBlack or African American,0.7933,0.1488,-1.5561,0.1197,0.5922,1.0618,Model 2: Substance Use Predictors
race_ethnicityHispanic/Latino,0.7801,0.1548,-1.604,0.1087,0.5756,1.0564,Model 2: Substance Use Predictors
race_ethnicityTwo or More Races,0.8901,0.1932,-0.6027,0.5467,0.6091,1.2998,Model 2: Substance Use Predictors
race_ethnicityWhite,0.8351,0.1376,-1.3095,0.1904,0.6373,1.0935,Model 2: Substance Use Predictors
felt_sad_hopeless,0.9521,0.0742,-0.6611,0.5086,0.8232,1.1012,Model 2: Substance Use Predictors
connectedness_score,0.9997,0.0599,-0.0045,0.9964,0.8889,1.1244,Model 2: Substance Use Predictors
bullied_at_school,0.8522,0.0948,-1.6861,0.0918,0.7074,1.026,Model 2: Substance Use Predictors
(Intercept),2.2894,0.2513,3.2966,0.0017,1.3834,3.7887,Model 3: Weighted Sadness Predictors
sexMale,0.4143,0.0764,-11.5346,0,0.3555,0.4829,Model 3: Weighted Sadness Predictors
grade10th,1.042,0.1076,0.3826,0.7035,0.8398,1.2931,Model 3: Weighted Sadness Predictors
grade11th,1.1183,0.1053,1.0617,0.2931,0.9054,1.3813,Model 3: Weighted Sadness Predictors
grade12th,1.2048,0.117,1.5928,0.117,0.9529,1.5233,Model 3: Weighted Sadness Predictors
connectedness_score,0.9824,0.065,-0.2735,0.7855,0.86240000000000006,1.119,Model 3: Weighted Sadness Predictors
bullied_at_school,0.9531,0.1128,-0.4258,0.6719,0.7602,1.1949,Model 3: Weighted Sadness Predictors
